"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ABSLFC","FC"
"MAP_4338",59.1443649773571,0.841864285438641,0.234737717816477,3.58640398002348,0.000335269436039761,0.000664429178484265,0.841864285438641,1.79236478315616
"MAP_3639c",152.868292709737,-0.701976402509829,0.195976312536441,-3.58194515155651,0.000341045405628671,0.0006746464367825,0.701976402509829,-1.6267317883532
"MAP_4124",47.0924208913792,0.913792118523217,0.255150354724058,3.58138682390418,0.000341775186590448,0.000675572250374951,0.913792118523217,1.88399105934491
"MAP_1762c",122.356251979865,0.594576344477809,0.1660508224381,3.58068894659918,0.000342689424931962,0.000676975022004557,0.594576344477809,1.5100290919034
"MAP_2736",41.5366258235331,1.06938486073617,0.299262789551069,3.57339735534905,0.000352379411162329,0.000695801379281041,1.06938486073617,2.09853839736388
"MAP_1981c",91.6595799418202,-0.726695265574141,0.203557294015829,-3.56997900314804,0.000357009842605672,0.000704624689353299,0.726695265574141,-1.65484404946563
"MAP_3859",46.2066309721851,0.853591415774679,0.239545899648266,3.5633731031424,0.000366119721287062,0.000721662261311895,0.853591415774679,1.80699362416408
"MAP_1746c",418.759379775973,-2.88617708396822,0.81029885743151,-3.56186739929122,0.000368226360668853,0.000725445955122061,2.88617708396822,-7.39308799034127
"MAP_4046c",53.6871231283652,0.874777416032669,0.245623155764487,3.56146151330879,0.00036879617435765,0.00072623963714612,0.874777416032669,1.83372515114223
"MAP_4023",97.1366793653626,0.718578949592257,0.201866731480565,3.55967000764283,0.000371321089969404,0.000730880878446564,0.718578949592257,1.6455603638366
"MAP_0961c",19.2502286849787,-1.99322558871078,0.560517678454169,-3.55604410945221,0.000376480895663221,0.000740367041652355,1.99322558871078,-3.98126137323909
"MAP_4036",26.4882936680009,1.81991696724824,0.512340986307168,3.55215962784037,0.000382082991221845,0.000751044289116595,1.81991696724824,3.53060877894765
